keyword,review_mentions,month_count,rating_slope_per_month,slope_se,t_stat,p_value_normal_approx,interpretation
white cast,1382,105,-0.008464113878642876,0.0014070150696714983,-6.015652611751364,1.7916341965350372e-09,negative_drift
reef safe,212,69,-0.0025791163906489075,0.00566210995221726,-0.45550446960835433,0.6487463527626567,negative_drift
non-greasy,274,108,-0.0017787314056670154,0.0014687204126713682,-1.2110755664053083,0.22586644473916428,negative_drift
mineral,1531,136,-0.0004982701629080828,0.0014254033982283732,-0.3495643152860308,0.7266656955361126,negative_drift
clean,703,127,-9.152341915429311e-05,0.0016840963995773104,-0.05434571273786019,0.9566597298436857,negative_drift
dermatologist,880,128,0.001168294265450969,0.001465711052812594,0.797083615634266,0.42540247126226116,non_negative_or_insufficient
natural,1868,147,0.0014850767823093348,0.0008150649989860738,1.8220347876019014,0.06844970739312119,non_negative_or_insufficient
sensitive,3161,153,0.002985715240554985,0.0012071938519923136,2.473269090649739,0.013388329191951737,non_negative_or_insufficient
gentle,235,100,0.005256014706602649,0.002239291898810264,2.347177118532501,0.01891626026214125,non_negative_or_insufficient
chemical-free,7,7,0.032671112046703185,0.017225718805307343,1.8966472410217812,0.05787451122357566,non_negative_or_insufficient
