group,product_count,mean_price,mean_promo_density_total,mean_promo_density_natural_clean,mean_promo_density_sensorial,mean_promo_density_efficacy,mean_abstractness_ratio,mean_semantic_gap_coarse,mean_trust_response_index,mean_lockin_index,mean_scenario_entropy,mean_skepticism_ratio,mean_white_cast_review_share,mean_greasy_texture_review_share,mean_burn_failure_review_share,mean_price_value_review_share
high_spf_50_plus,28,21.13416666666667,6.4261460963666766,2.367492472933375,0.7545718588495526,3.1821468696751167,0.16906674758177312,0.7766597061880224,0.06471738052259547,0.754579795504957,0.24542020449504295,0.06080734409230086,0.0805,0.20049999999999996,0.07135714285714287,0.03307142857142857
low_spf_30_or_less,60,14.20875,5.891181683662929,2.1398651581784605,0.8130055398439405,2.8011897425752594,0.15935583126024302,0.7670335823653864,0.05253005408834758,0.8371359342802295,0.1628640657197705,0.03893813166029761,0.024133333333333336,0.16810000000000003,0.03113333333333334,0.02696666666666667
mid_spf_31_49,12,24.151818181818182,3.5745978228258344,1.4352157000372223,1.2656366158241708,0.7465190438601156,0.1648148148148148,0.7754687420032301,0.045457491175590226,0.8211621916963289,0.17883780830367113,0.03010581634374132,0.024500000000000004,0.15,0.010833333333333335,0.03916666666666666
